Chest,Shoulder,Sleeve Length,Waist,Predicted Size
97,43.58,19,100.5,1
97,43.58,19,101,1
97,43.58,19,101.3,1
97.5,43.58,19,96.5,1
97.5,43.58,19,97,1
97.5,43.58,19,97.5,1
97.5,43.58,19,98,1
97.5,43.58,19,98.5,1
97.5,43.58,19,99,1
97.5,43.58,19,99.5,1
97.5,43.58,19,100,1
97.5,43.58,19,100.5,1
97.5,43.58,19,101,1
97.5,43.58,19,101.3,1
98,43.58,19,96.5,1
98,43.58,19,97,1
98,43.58,19,97.5,1
98,43.58,19,98,1
98,43.58,19,98.5,1
98,43.58,19,99,1
98,43.58,19,99.5,1
98,43.58,19,100,1
98,43.58,19,100.5,1
98,43.58,19,101,1
98,43.58,19,101.3,1
98.5,43.58,19,96.5,1
98.5,43.58,19,97,1
98.5,43.58,19,97.5,1
98.5,43.58,19,98,1
98.5,43.58,19,98.5,1
98.5,43.58,19,99,1
98.5,43.58,19,99.5,1
98.5,43.58,19,100,1
98.5,43.58,19,100.5,1
98.5,43.58,19,101,1
98.5,43.58,19,101.3,1
99,43.58,19,96.5,1
99,43.58,19,97,1
99,43.58,19,97.5,1
99,43.58,19,98,1
99,43.58,19,98.5,1
99,43.58,19,99,1
99,43.58,19,99.5,1
99,43.58,19,100,1
99,43.58,19,100.5,1
99,43.58,19,101,1
99,43.58,19,101.3,1
99.5,43.58,19,96.5,1
99.5,43.58,19,97,1
99.5,43.58,19,97.5,1
99.5,43.58,19,98,1
99.5,43.58,19,98.5,1
99.5,43.58,19,99,1
99.5,43.58,19,99.5,1
99.5,43.58,19,100,1
99.5,43.58,19,100.5,1
99.5,43.58,19,101,1
99.5,43.58,19,101.3,1
100,43.58,19,96.5,1
100,43.58,19,97,1
100,43.58,19,97.5,1
100,43.58,19,98,1
100,43.58,19,98.5,1
100,43.58,19,99,1
100,43.58,19,99.5,1
100,43.58,19,100,1
100,43.58,19,100.5,1
100,43.58,19,101,1
100,43.58,19,101.3,1
100.5,43.58,19,96.5,1
100.5,43.58,19,97,1
100.5,43.58,19,97.5,1
100.5,43.58,19,98,1
100.5,43.58,19,98.5,1
100.5,43.58,19,99,1
100.5,43.58,19,99.5,1
100.5,43.58,19,100,1
100.5,43.58,19,100.5,1
100.5,43.58,19,101,1
100.5,43.58,19,101.3,1
101,43.58,19,96.5,1
101,43.58,19,97,1
101,43.58,19,97.5,1
101,43.58,19,98,1
101,43.58,19,98.5,1
101,43.58,19,99,1
101,43.58,19,99.5,1
101,43.58,19,100,1
101,43.58,19,100.5,1
101,43.58,19,101,1
101,43.58,19,101.3,1
101.3,43.58,19,96.5,1
101.3,43.58,19,97,1
101.3,43.58,19,97.5,1
101.3,43.58,19,98,1
101.3,43.58,19,98.5,1
101.3,43.58,19,99,1
101.3,43.58,19,99.5,1
101.3,43.58,19,100,1
101.3,43.58,19,100.5,1
101.3,43.58,19,101,1
101.3,43.58,19,101.3,1
96.5,43.98,19,96.5,1
96.5,43.98,19,97,1
96.5,43.98,19,97.5,1
96.5,43.98,19,98,1
96.5,43.98,19,98.5,1
96.5,43.98,19,99,1
96.5,43.98,19,99.5,1
96.5,43.98,19,100,1
96.5,43.98,19,100.5,1
96.5,43.98,19,101,1
96.5,43.98,19,101.3,1
97,43.98,19,96.5,1
97,43.98,19,97,1
97,43.98,19,97.5,1
97,43.98,19,98,1
97,43.98,19,98.5,1
97,43.98,19,99,1
97,43.98,19,99.5,1
97,43.98,19,100,1
97,43.98,19,100.5,1
97,43.98,19,101,1
97,43.98,19,101.3,1
97.5,43.98,19,96.5,1
97.5,43.98,19,97,1
97.5,43.98,19,97.5,1
97.5,43.98,19,98,1
97.5,43.98,19,98.5,1
97.5,43.98,19,99,1
97.5,43.98,19,99.5,1
97.5,43.98,19,100,1
97.5,43.98,19,100.5,1
97.5,43.98,19,101,1
97.5,43.98,19,101.3,1
98,43.98,19,96.5,1
98,43.98,19,97,1
98,43.98,19,97.5,1
98,43.98,19,98,1
98,43.98,19,98.5,1
98,43.98,19,99,1
98,43.98,19,99.5,1
98,43.98,19,100,1
98,43.98,19,100.5,1
98,43.98,19,101,1
98,43.98,19,101.3,1
98.5,43.98,19,96.5,1
98.5,43.98,19,97,1
98.5,43.98,19,97.5,1
98.5,43.98,19,98,1
98.5,43.98,19,98.5,1
98.5,43.98,19,99,1
98.5,43.98,19,99.5,1
98.5,43.98,19,100,1
98.5,43.98,19,100.5,1
98.5,43.98,19,101,1
98.5,43.98,19,101.3,1
99,43.98,19,96.5,1
99,43.98,19,97,1
99,43.98,19,97.5,1
99,43.98,19,98,1
99,43.98,19,98.5,1
99,43.98,19,99,1
99,43.98,19,99.5,1
99,43.98,19,100,1
99,43.98,19,100.5,1
99,43.98,19,101,1
99,43.98,19,101.3,1
99.5,43.98,19,96.5,1
99.5,43.98,19,97,1
99.5,43.98,19,97.5,1
99.5,43.98,19,98,1
99.5,43.98,19,98.5,1
99.5,43.98,19,99,1
99.5,43.98,19,99.5,1
99.5,43.98,19,100,1
99.5,43.98,19,100.5,1
99.5,43.98,19,101,1
99.5,43.98,19,101.3,1
100,43.98,19,96.5,1
100,43.98,19,97,1
100,43.98,19,97.5,1
100,43.98,19,98,1
100,43.98,19,98.5,1
100,43.98,19,99,1
100,43.98,19,99.5,1
100,43.98,19,100,1
100,43.98,19,100.5,1
100,43.98,19,101,1
100,43.98,19,101.3,1
100.5,43.98,19,96.5,1
100.5,43.98,19,97,1
100.5,43.98,19,97.5,1
100.5,43.98,19,98,1
100.5,43.98,19,98.5,1
100.5,43.98,19,99,1
100.5,43.98,19,99.5,1
100.5,43.98,19,100,1
100.5,43.98,19,100.5,1
100.5,43.98,19,101,1
100.5,43.98,19,101.3,1
101,43.98,19,96.5,1
101,43.98,19,97,1
101,43.98,19,97.5,1
101,43.98,19,98,1
101,43.98,19,98.5,1
101,43.98,19,99,1
101,43.98,19,99.5,1
101,43.98,19,100,1
101,43.98,19,100.5,1
101,43.98,19,101,1
101,43.98,19,101.3,1
101.3,43.98,19,96.5,1
101.3,43.98,19,97,1
101.3,43.98,19,97.5,1
101.3,43.98,19,98,1
101.3,43.98,19,98.5,1
101.3,43.98,19,99,1
101.3,43.98,19,99.5,1
101.3,43.98,19,100,1
101.3,43.98,19,100.5,1
101.3,43.98,19,101,1
101.3,43.98,19,101.3,1
96.5,44.38,19,96.5,1
96.5,44.38,19,97,1
96.5,44.38,19,97.5,1
96.5,44.38,19,98,1
96.5,44.38,19,98.5,1
96.5,44.38,19,99,1
96.5,44.38,19,99.5,1
96.5,44.38,19,100,1
96.5,44.38,19,100.5,1
96.5,44.38,19,101,1
96.5,44.38,19,101.3,1
97,44.38,19,96.5,1
97,44.38,19,97,1
97,44.38,19,97.5,1
97,44.38,19,98,1
97,44.38,19,98.5,1
97,44.38,19,99,1
97,44.38,19,99.5,1
97,44.38,19,100,1
97,44.38,19,100.5,1
97,44.38,19,101,1
97,44.38,19,101.3,1
97.5,44.38,19,96.5,1
97.5,44.38,19,97,1
97.5,44.38,19,97.5,1
97.5,44.38,19,98,1
97.5,44.38,19,98.5,1
97.5,44.38,19,99,1
97.5,44.38,19,99.5,1
97.5,44.38,19,100,1
97.5,44.38,19,100.5,1
97.5,44.38,19,101,1
97.5,44.38,19,101.3,1
98,44.38,19,96.5,1
98,44.38,19,97,1
98,44.38,19,97.5,1
98,44.38,19,98,1
98,44.38,19,98.5,1
98,44.38,19,99,1
98,44.38,19,99.5,1
98,44.38,19,100,1
98,44.38,19,100.5,1
98,44.38,19,101,1
98,44.38,19,101.3,1
98.5,44.38,19,96.5,1
98.5,44.38,19,97,1
98.5,44.38,19,97.5,1
98.5,44.38,19,98,1
98.5,44.38,19,98.5,1
98.5,44.38,19,99,1
98.5,44.38,19,99.5,1
98.5,44.38,19,100,1
98.5,44.38,19,100.5,1
98.5,44.38,19,101,1
98.5,44.38,19,101.3,1
99,44.38,19,96.5,1
99,44.38,19,97,1
99,44.38,19,97.5,1
99,44.38,19,98,1
99,44.38,19,98.5,1
99,44.38,19,99,1
99,44.38,19,99.5,1
99,44.38,19,100,1
99,44.38,19,100.5,1
99,44.38,19,101,1
99,44.38,19,101.3,1
99.5,44.38,19,96.5,1
99.5,44.38,19,97,1
99.5,44.38,19,97.5,1
99.5,44.38,19,98,1
99.5,44.38,19,98.5,1
99.5,44.38,19,99,1
99.5,44.38,19,99.5,1
99.5,44.38,19,100,1
99.5,44.38,19,100.5,1
99.5,44.38,19,101,1
99.5,44.38,19,101.3,1
100,44.38,19,96.5,1
100,44.38,19,97,1
100,44.38,19,97.5,1
100,44.38,19,98,1
100,44.38,19,98.5,1
100,44.38,19,99,1
100,44.38,19,99.5,1
100,44.38,19,100,1
100,44.38,19,100.5,1
100,44.38,19,101,1
100,44.38,19,101.3,1
100.5,44.38,19,96.5,1
100.5,44.38,19,97,1
100.5,44.38,19,97.5,1
100.5,44.38,19,98,1
100.5,44.38,19,98.5,1
100.5,44.38,19,99,1
100.5,44.38,19,99.5,1
100.5,44.38,19,100,1
100.5,44.38,19,100.5,1
100.5,44.38,19,101,1
100.5,44.38,19,101.3,1
101,44.38,19,96.5,1
101,44.38,19,97,1
101,44.38,19,97.5,1
101,44.38,19,98,1
101,44.38,19,98.5,1
101,44.38,19,99,1
101,44.38,19,99.5,1
101,44.38,19,100,1
101,44.38,19,100.5,1
101,44.38,19,101,1
101,44.38,19,101.3,1
101.3,44.38,19,96.5,1
101.3,44.38,19,97,1
101.3,44.38,19,97.5,1
101.3,44.38,19,98,1
101.3,44.38,19,98.5,1
101.3,44.38,19,99,1
101.3,44.38,19,99.5,1
101.3,44.38,19,100,1
101.3,44.38,19,100.5,1
101.3,44.38,19,101,1
101.3,44.38,19,101.3,1
96.5,44.38,19.4,96.5,1
96.5,44.38,19.4,97,1
96.5,44.38,19.4,97.5,1
96.5,44.38,19.4,98,1
96.5,44.38,19.4,98.5,1
96.5,44.38,19.4,99,1
96.5,44.38,19.4,99.5,1
96.5,44.38,19.4,100,1
96.5,44.38,19.4,100.5,1
96.5,44.38,19.4,101,1
96.5,44.38,19.4,101.3,1
97,44.38,19.4,96.5,1
97,44.38,19.4,97,1
97,44.38,19.4,97.5,1
97,44.38,19.4,98,1
97,44.38,19.4,98.5,1
97,44.38,19.4,99,1
97,44.38,19.4,99.5,1
97,44.38,19.4,100,1
97,44.38,19.4,100.5,1
97,44.38,19.4,101,1
97,44.38,19.4,101.3,1
97.5,44.38,19.4,96.5,1
97.5,44.38,19.4,97,1
97.5,44.38,19.4,97.5,1
97.5,44.38,19.4,98,1
97.5,44.38,19.4,98.5,1
97.5,44.38,19.4,99,1
97.5,44.38,19.4,99.5,1
97.5,44.38,19.4,100,1
97.5,44.38,19.4,100.5,1
97.5,44.38,19.4,101,1
97.5,44.38,19.4,101.3,1
98,44.38,19.4,96.5,1
98,44.38,19.4,97,1
98,44.38,19.4,97.5,1
98,44.38,19.4,98,1
98,44.38,19.4,98.5,1
98,44.38,19.4,99,1
98,44.38,19.4,99.5,1
98,44.38,19.4,100,1
98,44.38,19.4,100.5,1
98,44.38,19.4,101,1
98,44.38,19.4,101.3,1
98.5,44.38,19.4,96.5,1
98.5,44.38,19.4,97,1
98.5,44.38,19.4,97.5,1
98.5,44.38,19.4,98,1
98.5,44.38,19.4,98.5,1
98.5,44.38,19.4,99,1
98.5,44.38,19.4,99.5,1
98.5,44.38,19.4,100,1
98.5,44.38,19.4,100.5,1
98.5,44.38,19.4,101,1
98.5,44.38,19.4,101.3,1
99,44.38,19.4,96.5,1
99,44.38,19.4,97,1
99,44.38,19.4,97.5,1
99,44.38,19.4,98,1
99,44.38,19.4,98.5,1
99,44.38,19.4,99,1
99,44.38,19.4,99.5,1
99,44.38,19.4,100,1
99,44.38,19.4,100.5,1
99,44.38,19.4,101,1
99,44.38,19.4,101.3,1
99.5,44.38,19.4,96.5,1
99.5,44.38,19.4,97,1
99.5,44.38,19.4,97.5,1
99.5,44.38,19.4,98,1
99.5,44.38,19.4,98.5,1
99.5,44.38,19.4,99,1
99.5,44.38,19.4,99.5,1
99.5,44.38,19.4,100,1
99.5,44.38,19.4,100.5,1
99.5,44.38,19.4,101,1
99.5,44.38,19.4,101.3,1
100,44.38,19.4,96.5,1
100,44.38,19.4,97,1
100,44.38,19.4,97.5,1
100,44.38,19.4,98,1
100,44.38,19.4,98.5,1
100,44.38,19.4,99,1
100,44.38,19.4,99.5,1
100,44.38,19.4,100,1
100,44.38,19.4,100.5,1
100,44.38,19.4,101,1
100,44.38,19.4,101.3,1
100.5,44.38,19.4,96.5,1
100.5,44.38,19.4,97,1
100.5,44.38,19.4,97.5,1
100.5,44.38,19.4,98,1
100.5,44.38,19.4,98.5,1
100.5,44.38,19.4,99,1
100.5,44.38,19.4,99.5,1
100.5,44.38,19.4,100,1
100.5,44.38,19.4,100.5,1
100.5,44.38,19.4,101,1
100.5,44.38,19.4,101.3,1
101,44.38,19.4,96.5,1
101,44.38,19.4,97,1
101,44.38,19.4,97.5,1
101,44.38,19.4,98,1
101,44.38,19.4,98.5,1
101,44.38,19.4,99,1
101,44.38,19.4,99.5,1
101,44.38,19.4,100,1
101,44.38,19.4,100.5,1
101,44.38,19.4,101,1
101,44.38,19.4,101.3,1
101.3,44.38,19.4,96.5,1
101.3,44.38,19.4,97,1
101.3,44.38,19.4,97.5,1
101.3,44.38,19.4,98,1
101.3,44.38,19.4,98.5,1
101.3,44.38,19.4,99,1
101.3,44.38,19.4,99.5,1
101.3,44.38,19.4,100,1
101.3,44.38,19.4,100.5,1
101.3,44.38,19.4,101,1
101.3,44.38,19.4,101.3,1
96.5,43.98,19.4,96.5,1
96.5,43.98,19.4,97,1
96.5,43.98,19.4,97.5,1
96.5,43.98,19.4,98,1
96.5,43.98,19.4,98.5,1
96.5,43.98,19.4,99,1
96.5,43.98,19.4,99.5,1
96.5,43.98,19.4,100,1
96.5,43.98,19.4,100.5,1
96.5,43.98,19.4,101,1
96.5,43.98,19.4,101.3,1
97,43.98,19.4,96.5,1
97,43.98,19.4,97,1
97,43.98,19.4,97.5,1
97,43.98,19.4,98,1
97,43.98,19.4,98.5,1
97,43.98,19.4,99,1
97,43.98,19.4,99.5,1
97,43.98,19.4,100,1
97,43.98,19.4,100.5,1
97,43.98,19.4,101,1
97,43.98,19.4,101.3,1
97.5,43.98,19.4,96.5,1
97.5,43.98,19.4,97,1
97.5,43.98,19.4,97.5,1
97.5,43.98,19.4,98,1
97.5,43.98,19.4,98.5,1
97.5,43.98,19.4,99,1
97.5,43.98,19.4,99.5,1
97.5,43.98,19.4,100,1
97.5,43.98,19.4,100.5,1
97.5,43.98,19.4,101,1
97.5,43.98,19.4,101.3,1
98,43.98,19.4,96.5,1
98,43.98,19.4,97,1
98,43.98,19.4,97.5,1
98,43.98,19.4,98,1
98,43.98,19.4,98.5,1
98,43.98,19.4,99,1
98,43.98,19.4,99.5,1
98,43.98,19.4,100,1
98,43.98,19.4,100.5,1
98,43.98,19.4,101,1
98,43.98,19.4,101.3,1
98.5,43.98,19.4,96.5,1
98.5,43.98,19.4,97,1
98.5,43.98,19.4,97.5,1
98.5,43.98,19.4,98,1
98.5,43.98,19.4,98.5,1
98.5,43.98,19.4,99,1
98.5,43.98,19.4,99.5,1
98.5,43.98,19.4,100,1
98.5,43.98,19.4,100.5,1
98.5,43.98,19.4,101,1
98.5,43.98,19.4,101.3,1
99,43.98,19.4,96.5,1
99,43.98,19.4,97,1
99,43.98,19.4,97.5,1
99,43.98,19.4,98,1
99,43.98,19.4,98.5,1
99,43.98,19.4,99,1
99,43.98,19.4,99.5,1
99,43.98,19.4,100,1
99,43.98,19.4,100.5,1
99,43.98,19.4,101,1
99,43.98,19.4,101.3,1
99.5,43.98,19.4,96.5,1
99.5,43.98,19.4,97,1
99.5,43.98,19.4,97.5,1
99.5,43.98,19.4,98,1
99.5,43.98,19.4,98.5,1
99.5,43.98,19.4,99,1
99.5,43.98,19.4,99.5,1
99.5,43.98,19.4,100,1
99.5,43.98,19.4,100.5,1
99.5,43.98,19.4,101,1
99.5,43.98,19.4,101.3,1
100,43.98,19.4,96.5,1
100,43.98,19.4,97,1
100,43.98,19.4,97.5,1
100,43.98,19.4,98,1
100,43.98,19.4,98.5,1
100,43.98,19.4,99,1
100,43.98,19.4,99.5,1
100,43.98,19.4,100,1
100,43.98,19.4,100.5,1
100,43.98,19.4,101,1
100,43.98,19.4,101.3,1
100.5,43.98,19.4,96.5,1
100.5,43.98,19.4,97,1
100.5,43.98,19.4,97.5,1
100.5,43.98,19.4,98,1
100.5,43.98,19.4,98.5,1
100.5,43.98,19.4,99,1
100.5,43.98,19.4,99.5,1
100.5,43.98,19.4,100,1
100.5,43.98,19.4,100.5,1
100.5,43.98,19.4,101,1
100.5,43.98,19.4,101.3,1
101,43.98,19.4,96.5,1
101,43.98,19.4,97,1
101,43.98,19.4,97.5,1
101,43.98,19.4,98,1
101,43.98,19.4,98.5,1
101,43.98,19.4,99,1
101,43.98,19.4,99.5,1
101,43.98,19.4,100,1
101,43.98,19.4,100.5,1
101,43.98,19.4,101,1
101,43.98,19.4,101.3,1
101.3,43.98,19.4,96.5,1
101.3,43.98,19.4,97,1
101.3,43.98,19.4,97.5,1
101.3,43.98,19.4,98,1
101.3,43.98,19.4,98.5,1
101.3,43.98,19.4,99,1
101.3,43.98,19.4,99.5,1
101.3,43.98,19.4,100,1
101.3,43.98,19.4,100.5,1
101.3,43.98,19.4,101,1
101.3,43.98,19.4,101.3,1
96.5,43.58,19.4,96.5,1
96.5,43.58,19.4,97,1
96.5,43.58,19.4,97.5,1
96.5,43.58,19.4,98,1
96.5,43.58,19.4,98.5,1
96.5,43.58,19.4,99,1
96.5,43.58,19.4,99.5,1
96.5,43.58,19.4,100,1
96.5,43.58,19.4,100.5,1
96.5,43.58,19.4,101,1
96.5,43.58,19.4,101.3,1
97,43.58,19.4,96.5,1
97,43.58,19.4,97,1
97,43.58,19.4,97.5,1
97,43.58,19.4,98,1
97,43.58,19.4,98.5,1
97,43.58,19.4,99,1
97,43.58,19.4,99.5,1
97,43.58,19.4,100,1
97,43.58,19.4,100.5,1
97,43.58,19.4,101,1
97,43.58,19.4,101.3,1
97.5,43.58,19.4,96.5,1
97.5,43.58,19.4,97,1
97.5,43.58,19.4,97.5,1
97.5,43.58,19.4,98,1
97.5,43.58,19.4,98.5,1
97.5,43.58,19.4,99,1
97.5,43.58,19.4,99.5,1
97.5,43.58,19.4,100,1
97.5,43.58,19.4,100.5,1
97.5,43.58,19.4,101,1
97.5,43.58,19.4,101.3,1
98,43.58,19.4,96.5,1
98,43.58,19.4,97,1
98,43.58,19.4,97.5,1
98,43.58,19.4,98,1
98,43.58,19.4,98.5,1
98,43.58,19.4,99,1
98,43.58,19.4,99.5,1
98,43.58,19.4,100,1
98,43.58,19.4,100.5,1
98,43.58,19.4,101,1
98,43.58,19.4,101.3,1
98.5,43.58,19.4,96.5,1
98.5,43.58,19.4,97,1
98.5,43.58,19.4,97.5,1
98.5,43.58,19.4,98,1
98.5,43.58,19.4,98.5,1
98.5,43.58,19.4,99,1
98.5,43.58,19.4,99.5,1
98.5,43.58,19.4,100,1
98.5,43.58,19.4,100.5,1
98.5,43.58,19.4,101,1
98.5,43.58,19.4,101.3,1
99,43.58,19.4,96.5,1
99,43.58,19.4,97,1
99,43.58,19.4,97.5,1
99,43.58,19.4,98,1
99,43.58,19.4,98.5,1
99,43.58,19.4,99,1
99,43.58,19.4,99.5,1
99,43.58,19.4,100,1
99,43.58,19.4,100.5,1
99,43.58,19.4,101,1
99,43.58,19.4,101.3,1
99.5,43.58,19.4,96.5,1
99.5,43.58,19.4,97,1
99.5,43.58,19.4,97.5,1
99.5,43.58,19.4,98,1
99.5,43.58,19.4,98.5,1
99.5,43.58,19.4,99,1
99.5,43.58,19.4,99.5,1
99.5,43.58,19.4,100,1
99.5,43.58,19.4,100.5,1
99.5,43.58,19.4,101,1
99.5,43.58,19.4,101.3,1
100,43.58,19.4,96.5,1
100,43.58,19.4,97,1
100,43.58,19.4,97.5,1
100,43.58,19.4,98,1
100,43.58,19.4,98.5,1
100,43.58,19.4,99,1
100,43.58,19.4,99.5,1
100,43.58,19.4,100,1
100,43.58,19.4,100.5,1
100,43.58,19.4,101,1
100,43.58,19.4,101.3,1
100.5,43.58,19.4,96.5,1
100.5,43.58,19.4,97,1
100.5,43.58,19.4,97.5,1
100.5,43.58,19.4,98,1
100.5,43.58,19.4,98.5,1
100.5,43.58,19.4,99,1
100.5,43.58,19.4,99.5,1
100.5,43.58,19.4,100,1
100.5,43.58,19.4,100.5,1
100.5,43.58,19.4,101,1
100.5,43.58,19.4,101.3,1
101,43.58,19.4,96.5,1
101,43.58,19.4,97,1
101,43.58,19.4,97.5,1
101,43.58,19.4,98,1
101,43.58,19.4,98.5,1
101,43.58,19.4,99,1
101,43.58,19.4,99.5,1
101,43.58,19.4,100,1
101,43.58,19.4,100.5,1
101,43.58,19.4,101,1
101,43.58,19.4,101.3,1
101.3,43.58,19.4,96.5,1
101.3,43.58,19.4,97,1
101.3,43.58,19.4,97.5,1
101.3,43.58,19.4,98,1
101.3,43.58,19.4,98.5,1
101.3,43.58,19.4,99,1
101.3,43.58,19.4,99.5,1
101.3,43.58,19.4,100,1
101.3,43.58,19.4,100.5,1
101.3,43.58,19.4,101,1
101.3,43.58,19.4,101.3,1
96.5,43.18,19.4,96.5,1
96.5,43.18,19.4,97,1
96.5,43.18,19.4,97.5,1
96.5,43.18,19.4,98,1
96.5,43.18,19.4,98.5,1
96.5,43.18,19.4,99,1
96.5,43.18,19.4,99.5,1
96.5,43.18,19.4,100,1
96.5,43.18,19.4,100.5,1
96.5,43.18,19.4,101,1
96.5,43.18,19.4,101.3,1
97,43.18,19.4,96.5,1
97,43.18,19.4,97,1
97,43.18,19.4,97.5,1
97,43.18,19.4,98,1
97,43.18,19.4,98.5,1
97,43.18,19.4,99,1
97,43.18,19.4,99.5,1
97,43.18,19.4,100,1
97,43.18,19.4,100.5,1
97,43.18,19.4,101,1
97,43.18,19.4,101.3,1
97.5,43.18,19.4,96.5,1
97.5,43.18,19.4,97,1
97.5,43.18,19.4,97.5,1
97.5,43.18,19.4,98,1
97.5,43.18,19.4,98.5,1
97.5,43.18,19.4,99,1
97.5,43.18,19.4,99.5,1
97.5,43.18,19.4,100,1
97.5,43.18,19.4,100.5,1
97.5,43.18,19.4,101,1
97.5,43.18,19.4,101.3,1
98,43.18,19.4,96.5,1
98,43.18,19.4,97,1
98,43.18,19.4,97.5,1
98,43.18,19.4,98,1
98,43.18,19.4,98.5,1
98,43.18,19.4,99,1
98,43.18,19.4,99.5,1
98,43.18,19.4,100,1
98,43.18,19.4,100.5,1
98,43.18,19.4,101,1
98,43.18,19.4,101.3,1
98.5,43.18,19.4,96.5,1
98.5,43.18,19.4,97,1
98.5,43.18,19.4,97.5,1
98.5,43.18,19.4,98,1
98.5,43.18,19.4,98.5,1
98.5,43.18,19.4,99,1
98.5,43.18,19.4,99.5,1
98.5,43.18,19.4,100,1
98.5,43.18,19.4,100.5,1
98.5,43.18,19.4,101,1
98.5,43.18,19.4,101.3,1
99,43.18,19.4,96.5,1
99,43.18,19.4,97,1
99,43.18,19.4,97.5,1
99,43.18,19.4,98,1
99,43.18,19.4,98.5,1
99,43.18,19.4,99,1
99,43.18,19.4,99.5,1
99,43.18,19.4,100,1
99,43.18,19.4,100.5,1
99,43.18,19.4,101,1
99,43.18,19.4,101.3,1
99.5,43.18,19.4,96.5,1
99.5,43.18,19.4,97,1
99.5,43.18,19.4,97.5,1
99.5,43.18,19.4,98,1
99.5,43.18,19.4,98.5,1
99.5,43.18,19.4,99,1
99.5,43.18,19.4,99.5,1
99.5,43.18,19.4,100,1
